Time (seconds),temp_CPU,light,temp_OUT,moist_lv,year,month,date,hour,min,sec
16322.09,15,0,15,146,2026,2,7,19,25,24
16382.09,15,0,15,146,2026,2,7,19,26,24
16442.09,15,0,15,147,2026,2,7,19,27,24
16502.09,15,0,15,147,2026,2,7,19,28,24
16562.09,15,0,15,146,2026,2,7,19,29,24
16622.09,15,0,15,147,2026,2,7,19,30,24
16682.09,15,0,15,147,2026,2,7,19,31,24
16742.10,15,0,15,147,2026,2,7,19,32,24
16802.09,15,0,15,147,2026,2,7,19,33,24
16862.09,15,0,15,147,2026,2,7,19,34,24
16922.09,15,0,15,146,2026,2,7,19,35,24
16982.09,15,0,15,146,2026,2,7,19,36,24
17042.91,15,0,15,147,2026,2,7,19,37,25
17102.09,15,0,15,147,2026,2,7,19,38,24
17162.09,15,0,15,147,2026,2,7,19,39,24
17222.09,15,0,15,147,2026,2,7,19,40,24
17282.09,15,0,15,147,2026,2,7,19,41,24
17342.09,15,0,15,146,2026,2,7,19,42,24
17402.09,15,0,15,147,2026,2,7,19,43,24
17462.10,15,0,15,147,2026,2,7,19,44,24
17522.09,15,0,15,147,2026,2,7,19,45,24
17582.09,15,0,15,147,2026,2,7,19,46,24
17642.09,15,0,15,147,2026,2,7,19,47,24
17702.09,15,0,15,147,2026,2,7,19,48,24
17762.09,15,0,15,146,2026,2,7,19,49,24
17822.09,15,0,15,146,2026,2,7,19,50,24
17882.09,15,0,15,146,2026,2,7,19,51,24
17942.09,15,0,15,147,2026,2,7,19,52,24
18002.09,15,0,15,146,2026,2,7,19,53,24
18062.91,15,0,15,147,2026,2,7,19,54,25
18122.09,15,0,15,147,2026,2,7,19,55,24
18182.10,15,0,15,146,2026,2,7,19,56,24
18242.09,15,0,15,147,2026,2,7,19,57,24
18302.09,15,0,15,146,2026,2,7,19,58,24
18362.91,15,0,15,147,2026,2,7,19,59,25
18422.09,15,0,15,146,2026,2,7,20,0,24
18482.09,15,0,15,146,2026,2,7,20,1,24
18542.09,15,0,15,147,2026,2,7,20,2,24
18602.09,15,0,15,146,2026,2,7,20,3,24
18662.09,15,0,15,146,2026,2,7,20,4,24
18722.91,15,0,15,147,2026,2,7,20,5,25
18782.09,16,0,15,146,2026,2,7,20,6,24
18842.09,15,0,15,146,2026,2,7,20,7,24
18902.10,16,0,15,146,2026,2,7,20,8,24
18962.09,16,0,15,146,2026,2,7,20,9,24
19022.09,16,0,15,146,2026,2,7,20,10,24
19082.09,16,0,15,146,2026,2,7,20,11,24
19142.91,16,0,15,147,2026,2,7,20,12,24
19202.09,16,0,15,147,2026,2,7,20,13,24
19262.09,16,0,15,146,2026,2,7,20,14,24
19322.09,16,0,15,146,2026,2,7,20,15,24
19382.91,16,0,15,146,2026,2,7,20,16,24
19442.91,16,0,15,147,2026,2,7,20,17,24
19502.09,16,0,15,146,2026,2,7,20,18,24
19562.09,16,0,15,146,2026,2,7,20,19,24
19622.10,16,0,15,146,2026,2,7,20,20,24
19682.09,16,0,15,146,2026,2,7,20,21,24
19742.09,16,0,15,147,2026,2,7,20,22,24
19802.91,16,0,15,146,2026,2,7,20,23,24
19862.91,16,0,15,146,2026,2,7,20,24,24
19922.09,16,0,15,146,2026,2,7,20,25,24
19982.09,16,0,15,146,2026,2,7,20,26,24
20042.09,16,0,19,147,2026,2,7,20,27,24
20102.09,16,0,19,146,2026,2,7,20,28,24
20162.09,16,0,19,146,2026,2,7,20,29,24
20222.09,16,0,19,147,2026,2,7,20,30,24
20282.09,16,0,19,146,2026,2,7,20,31,24
20342.10,16,0,19,146,2026,2,7,20,32,24
20402.09,16,0,19,146,2026,2,7,20,33,24
20462.09,16,0,18,147,2026,2,7,20,34,24
20522.09,16,0,18,146,2026,2,7,20,35,24
20582.09,16,0,18,146,2026,2,7,20,36,24
20642.09,16,0,18,146,2026,2,7,20,37,24
20702.09,16,0,18,146,2026,2,7,20,38,24
20762.09,16,0,18,146,2026,2,7,20,39,24
20822.09,16,0,18,146,2026,2,7,20,40,24
20882.91,16,0,18,147,2026,2,7,20,41,24
20942.09,16,0,18,147,2026,2,7,20,42,24
21002.09,16,0,18,146,2026,2,7,20,43,24
21062.10,16,0,17,146,2026,2,7,20,44,24
21122.09,16,0,17,146,2026,2,7,20,45,24
21182.91,16,0,17,147,2026,2,7,20,46,24
21242.09,16,0,17,147,2026,2,7,20,47,24
21302.09,16,0,17,146,2026,2,7,20,48,24
21362.09,16,0,17,147,2026,2,7,20,49,24
21422.09,16,0,17,147,2026,2,7,20,50,24
21482.09,16,0,17,147,2026,2,7,20,51,24
21542.09,16,0,17,147,2026,2,7,20,52,24
21602.09,16,0,17,147,2026,2,7,20,53,24
21662.09,16,0,17,147,2026,2,7,20,54,24
21722.09,16,0,17,147,2026,2,7,20,55,24
21782.10,16,0,17,147,2026,2,7,20,56,24
21842.09,16,0,17,147,2026,2,7,20,57,24
21902.09,16,0,17,147,2026,2,7,20,58,24
21962.09,16,0,17,146,2026,2,7,20,59,24
22022.09,16,0,17,147,2026,2,7,21,0,24
